id;card_id;trn_type;trn_group;purchase_date;transaction_amount;transaction_currency_code;account_amount;account_currency_code;status;response;response_code;sub_type;is_reversal;is_declined;is_cleared;marked_for_dispute_at;marked_for_dispute_by;account_external_id;masked_card_number;has_payment_document_files;has_payment_notes;card_name;embossing_name;embossing_first_name;embossing_last_name;embossing_company_name;exchange_rate;enriched_merchant_name;enriched_merchant_url;enriched_merchant_domain;enriched_merchant_telephone;enriched_merchant_icon_url;total_amount;merchant_category_code;merchant_id;terminal_id;merchant_name;merchant_city;merchant_country_code;description;original_authorization_id;date
a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d;ea31d9b6-a76d-4227-95bc-4ee8cf368f61;Transaction;InternetPurchase;2025-04-22T10:15:30;1250.50;EUR;1250.50;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401001A;**** **** **** 1234;true;false;Corporate Card;JOHN SMITH;John;Smith;ACME Corporation;1.0000;Amazon.de;https://www.amazon.de;amazon.de;+49 30 12345678;https://logo.clearbit.com/amazon.de;1250.50;5411;AMZN123;TERM123;Amazon.de;Berlin;DEU;Amazon.de - Electronics Purchase;f1e2d3c4-b5a6-4c3d-2e1f-0a9b8c7d6e5f;2025-04-22T10:20:30
b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5;71efc3a1-59f3-488c-8157-8d7e4ff92314;Transaction;InternetPurchase;2025-04-22T11:20:45;750.25;EUR;750.25;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401002B;**** **** **** 5678;true;false;Virtual Card;SARAH JOHNSON;Sarah;Johnson;Tech Solutions Ltd;1.0000;Booking.com;https://www.booking.com;booking.com;+44 20 7123 4567;https://logo.clearbit.com/booking.com;750.25;4722;BKNG456;TERM456;Booking.com;London;GBR;Hotel Booking - London;e2d3c4b5-a6f7-5d4e-3c2b-1a0f9e8d7c6b;2025-04-22T11:25:45
c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6;4b52f1f5-a911-41fa-9af7-69c3cb23a135;Transaction;Purchase;2025-04-22T12:30:15;2000.00;EUR;2000.00;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401003C;**** **** **** 9012;true;false;Employee Card;MICHAEL BROWN;Michael;Brown;Global Industries;1.0000;Apple Store;https://www.apple.com;apple.com;+1 212 555 6789;https://logo.clearbit.com/apple.com;2000.00;5732;APPLE789;TERM789;Apple Store;New York;USA;iPhone 15 Pro Purchase;d3c4b5a6-f7e8-6d5c-4b3a-2f1e0d9c8b7a;2025-04-22T12:35:15
d4e5f6a7-b8c9-7d8e-1f0a-2b3c4d5e6f7;53aed372-6c5a-4320-9fe1-d8d23996ab2b;Transaction;Purchase;2025-04-22T13:45:20;150.75;EUR;150.75;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401004D;**** **** **** 3456;true;false;Virtual Card;EMMA WILSON;Emma;Wilson;Digital Solutions;1.0000;Starbucks;https://www.starbucks.fr;starbucks.fr;+33 1 23 45 67 89;https://logo.clearbit.com/starbucks.fr;150.75;5814;SBUX234;TERM234;Starbucks;Paris;FRA;Coffee and Pastries;c4b5a6f7-e8d9-7c6b-5a4f-3e2d1c0b9a8f;2025-04-22T13:50:20
e5f6a7b8-c9d0-8e9f-2a1b-3c4d5e6f7a8;fdd08219-c660-4446-b360-f7608265abde;Transaction;Purchase;2025-04-22T14:55:10;3000.00;EUR;3000.00;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401005E;**** **** **** 7890;true;false;Corporate Card;DAVID LEE;David;Lee;Innovation Corp;1.0000;Microsoft Store;https://www.microsoft.com;microsoft.com;+81 3 1234 5678;https://logo.clearbit.com/microsoft.com;3000.00;5734;MSFT567;TERM567;Microsoft Store;Tokyo;JPN;Surface Pro Purchase;b5a6f7e8-d9c0-8b7a-6f5e-4d3c2b1a0f9e;2025-04-22T15:00:10
f6a7b8c9-d0e1-9f0a-3b2c-4d5e6f7a8b9;30634f1f-f089-489c-8aec-791647e80a77;Transaction;InternetPurchase;2025-04-22T15:10:35;500.00;EUR;500.00;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401006F;**** **** **** 2345;true;false;Employee Card;LISA CHEN;Lisa;Chen;Global Tech;1.0000;Alibaba;https://www.alibaba.com;alibaba.com;+86 10 1234 5678;https://logo.clearbit.com/alibaba.com;500.00;5311;ALIB890;TERM890;Alibaba;Shanghai;CHN;Office Supplies;a6f7e8d9-c0b1-9a8f-7e6d-5c4b3a2f1e0d;2025-04-22T15:15:35
a7b8c9d0-e1f2-0a1b-4c3d-5e6f7a8b9c0;1ae71bb7-9bbf-4278-b46f-14e642445c9c;Transaction;Purchase;2025-04-22T16:25:40;100.00;EUR;100.00;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401007G;**** **** **** 6789;true;false;Anonymous Card;ANONYMOUS;Anonymous;User;Secure Corp;1.0000;Walmart;https://www.walmart.com;walmart.com;+1 415 555 1234;https://logo.clearbit.com/walmart.com;100.00;5411;WMT345;TERM345;Walmart;San Francisco;USA;Groceries;f7e8d9c0-b1a2-0f9e-8d7c-6b5a4f3e2d1c;2025-04-22T16:30:40
b8c9d0e1-f2a3-1b2c-5d4e-6f7a8b9c0d1;c92f7d7b-7514-439c-a70b-1764d642612c;Transaction;InternetPurchase;2025-04-22T17:35:55;2500.00;EUR;2500.00;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401008H;**** **** **** 0123;true;false;Anonymous Card;SECURE USER;Secure;User;Privacy Corp;1.0000;Google Store;https://store.google.com;store.google.com;+1 650 555 9876;https://logo.clearbit.com/store.google.com;2500.00;5732;GOOG678;TERM678;Google Store;Mountain View;USA;Pixel 8 Pro;e8d9c0b1-a2f3-1e0d-9c8b-7a6f5e4d3c2b;2025-04-22T17:40:55
c9d0e1f2-a3b4-2c3d-6e5f-7a8b9c0d1e2;de957222-e17f-4643-87cc-27eacfaa566b;Transaction;Purchase;2025-04-22T18:40:20;1800.00;EUR;1800.00;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401009I;**** **** **** 4567;true;false;Corporate Card;ROBERT KIM;Robert;Kim;Asia Pacific Corp;1.0000;Samsung Store;https://www.samsung.com;samsung.com;+82 2 1234 5678;https://logo.clearbit.com/samsung.com;1800.00;5732;SAMS901;TERM901;Samsung Store;Seoul;KOR;Galaxy S24 Ultra;d9c0b1a2-f3e4-2d1c-0b9a-8f7e6d5c4b3a;2025-04-22T18:45:20
d0e1f2a3-b4c5-3d4e-7f5a-8b9c0d1e2f3;1a7ea61e-98a9-4bde-9b9d-d22dde4fd0a1;Transaction;InternetPurchase;2025-04-22T19:50:15;950.00;EUR;950.00;EUR;Completed;Approved;00;PURCHASE;false;false;true;;;URE202401010J;**** **** **** 8901;true;false;Virtual Card;MARIA GARCIA;Maria;Garcia;Latin Solutions;1.0000;Mercado Libre;https://www.mercadolibre.com.br;mercadolibre.com.br;+55 11 1234 5678;https://logo.clearbit.com/mercadolibre.com.br;950.00;5311;ML234;TERM234;Mercado Libre;Sao Paulo;BRA;Electronics Purchase;c0b1a2f3-e4d5-3c2b-1a0f-9e8d7c6b5a4f;2025-04-22T19:55:15
