id;predecessor_card_id;account_id;person_id;external_id;type;name;masked_card_number;reference_number;expiry_date;block_type;blocked_at;blocked_by;status;embossing_name;embossing_first_name;embossing_last_name;embossing_company_name;limit_daily_purchase;limit_daily_withdrawal;limit_monthly_purchase;limit_monthly_withdrawal;limit_transaction_purchase;secure_3_d_type;secure_3_d_mobile;secure_3_d_email;secure_3_d_language_code;secure_3_d_out_of_band_enabled;secure_3_d_out_of_band_id;delivery_first_name;delivery_last_name;delivery_company_name;delivery_address_1;delivery_address_2;delivery_postal_code;delivery_city;delivery_country_code;delivery_dispatch_method;delivery_phone;delivery_tracking_number;is_enrolled_for_3_d_secure;is_card_3_d_secure_activated;renew_automatically;is_disposable;security_contactless_enabled;security_withdrawal_enabled;security_internet_purchase_enabled;security_overall_limits_enabled;security_all_time_limits_enabled;personalization_product_code;carrier_type;card_metadata_profile_id;activated_at;created_at;updated_at;closed_at;closed_by;close_reason;company_id;dispatched_at;notification_receipts_reminder_enabled;notification_instant_spend_update_enabled;disposable_type
ea31d9b6-a76d-4227-95bc-4ee8cf368f61;f0dcfb18-369f-498f-a3b5-0c7c0a6e3782;23c84e6f-7b53-41c7-b197-ffd2090177bd;nerve premise inasmuch;quick-witted aside;ChipAndPin;entrench meh;doubtfully;devil;2025-04-23T06:25:05;Lost;2025-04-22T23:20:10;maul;Ordered;during;ornery clone;tarragon save;unlucky meanwhile rival;19259.38;8942.21;31290.07;442.46;3405.03;AppBasedOTP;zowie;which ah gee;AAR;false;consequently unless;um onto surge;geez but;certainly since deflate;accompanist warmly at;whoa heartfelt;ultimately in;the vice giggle;MWI;StandardMail;decisive settle likewise;cash;true;true;true;false;false;true;true;true;false;without;Standard;brightly affectionate;2025-04-23T03:57:41;2025-04-22T20:43:50;2025-04-23T07:35:18;2025-04-22T15:22:50;upon huzzah;ClosedByCardholder;605791b3-68ae-4498-830f-4ba14e32db84;2025-04-22T20:57:06;false;false;None
71efc3a1-59f3-488c-8157-8d7e4ff92314;90154c5b-b24b-4717-ad5b-9e979594b2d9;56900122-1980-42cf-adea-6701b4615363;brisk yum;jealously preclude euphonium;Virtual;radiant;heating thoughtfully geez;concerning obesity;2025-04-23T00:08:22;MaxInvalidTriesCVV2;2025-04-22T21:35:56;bravely;Ordered;easily;ecliptic woot that;nasalise while;naughty;22686.54;13052.44;22293.4;17046.5;9617.28;AppBasedOTP;hm unless;inasmuch conservation degrease;ENG;true;or;joyfully who wholly;what of;shakily;remark aha;furthermore outlaw;march gripping;steak;PER;DHLExpress;off;valiantly though above;false;true;true;false;true;false;false;false;false;until ew deadly;Standard;that;2025-04-23T04:28:18;2025-04-23T09:00:20;2025-04-23T06:19:49;2025-04-22T22:00:15;packaging close profuse;ClosedByRenewal;63d9feee-8939-40fb-93ff-4802ff87e926;2025-04-23T07:40:19;true;true;SingleUse
4b52f1f5-a911-41fa-9af7-69c3cb23a135;0c43491a-705a-4a91-ac6f-2ad1c45e4fc8;45d8d19b-21be-43c2-8547-6a945e20d61f;questionably meh aboard;object knickers;ChipAndPin;why lest abaft;insidious since;once beneath;2025-04-23T09:19:00;Lost;2025-04-22T20:15:53;lay although truly;AwaitingRenewal;afore;pro;too hygienic;but athwart;29265.12;13472.35;21488.25;18922.89;17843.59;SMSOTPAndStaticPassword;scrap;boohoo supplier disrespect;AAR;false;wherever wisely;eek from;bookcase whoa;zowie uh-huh jubilantly;lined quirkily uh-huh;failing;hearten rigidly outside;righteously ack;IND;StandardMail;meal ah interior;tensely over;false;false;false;true;false;false;false;false;false;lend;Standard;reorient;2025-04-22T20:35:43;2025-04-23T04:28:38;2025-04-22T11:50:35;2025-04-22T15:23:05;yowza smoothly intrepid;ClosedByCardholder;4ec6f403-6b95-48e7-9a17-b24965396010;2025-04-22T22:03:26;false;true;None
53aed372-6c5a-4320-9fe1-d8d23996ab2b;6291b7b3-8805-4a57-904e-65e8449e838a;52418db2-8fc8-48c1-b778-88499c79e6da;lest upward fax;sew bowler per;Virtual;the closely fatally;pfft halt;spellcheck;2025-04-22T11:46:59;Fraudulent;2025-04-22T18:57:37;from;Expired;celsius;indelible solvency monthly;failing unlined mean;like;13822.56;18202.67;2677.25;19962.9;28385.6;SMSOTPAndStaticPassword;massage verve;enfold frenetically;ENG;false;relative however;seriously sinful gee;mash;upsell;beneath;ouch;what oddball the;lest;HRV;StandardMail;develop fooey;nearly kosher;false;true;false;true;false;true;true;true;true;ultimately;Custom;vacation burgeon;2025-04-23T01:47:05;2025-04-22T17:22:45;2025-04-23T05:25:12;2025-04-23T06:14:55;until;ClosedByReplace;088b0525-1e10-4938-a12d-800222c3da20;2025-04-23T07:31:51;true;true;SingleUse
fdd08219-c660-4446-b360-f7608265abde;1bc7afef-84a4-4cbb-93f1-46f67c889a13;c584e45f-139f-4b3d-bc97-6b1b1d2fdcee;fervently;pleasant;ChipAndPin;greatly graft;and director;strategy before;2025-04-23T03:39:14;NotDelivered;2025-04-23T05:49:19;tribe between;Blocked;lest um meager;clone flat;oh aha;afore satirize;11981.43;28710.95;8239.28;31309.69;22030.08;None;till joyfully;geez;ENG;true;incidentally hole;seriously paintwork minus;even vice lest;aha ick;above;whenever possession;throughout forecast mutate;seldom duh maroon;PAK;FedEx;overspend at unfreeze;hydrolyse steep snarling;true;true;false;false;true;false;true;false;true;forsaken;Custom;verify;2025-04-23T05:27:25;2025-04-22T11:49:28;2025-04-22T22:08:29;2025-04-23T04:16:40;slope within;ClosedByIssuer;b3e2f04c-f0fc-40d5-8003-6a1739e0d5c0;2025-04-22T21:47:34;true;false;CustomExpiryDate
30634f1f-f089-489c-8aec-791647e80a77;28b5fdd6-ebf1-457d-82a1-c4c69a1b4cfb;b444fbbe-e79e-4d93-941a-3acd51058c6f;huzzah ah;but;ChipAndPin;loose;accompany;whoa bracelet;2025-04-22T11:17:01;BlockedByCardholder;2025-04-22T20:53:37;yawningly showboat adviser;AwaitingRenewal;curl muscat;crafty whimsical loosely;hierarchy barring safely;pave;2824.26;17332.18;21668.21;28253.37;21242.74;None;profane pale wasteful;hoarse whether phew;ENG;true;whenever gee;well-documented;despite but elderly;per lounge heating;barracks;er an;woot coordinated;extremely preheat;DEU;FedEx;past unlike unless;scarcely event;true;true;true;false;true;false;false;true;true;following;Standard;tinderbox athwart;2025-04-22T13:59:48;2025-04-23T02:59:37;2025-04-22T13:05:31;2025-04-22T18:10:53;porter accurate incomplete;ClosedByCardholder;22f54d3e-4cb9-48a0-a3ea-35d04276d58b;2025-04-22T19:31:15;true;false;None
1ae71bb7-9bbf-4278-b46f-14e642445c9c;f47eec78-dc7a-4bc9-8714-645b1b0e327f;af8125df-6d72-43f3-8e70-9db12cbceb92;disconnection bootleg after;whoa pliers;ChipAndPinAnonymous;license malfunction;boohoo pro;adrenalin netsuke stale;2025-04-22T14:00:48;MaxInvalidTriesCVV2;2025-04-23T09:49:56;upwardly dramatize mechanic;Created;fumigate cooperative heating;behind;ha broken develop;lend gracefully coaxingly;24962.01;2868.39;7285.48;2561.34;14257.44;None;woeful yum;forager even duh;AAR;false;psst fortunately;technician really ew;once french;old;signature stranger;funny;though hygienic;worth;TON;DHLExpress;crocodile against busy;an gracefully onto;true;true;false;true;true;true;true;true;false;lively frightened ouch;Standard;flashy;2025-04-22T15:20:46;2025-04-23T01:39:09;2025-04-22T17:25:06;2025-04-22T17:28:44;hm till woeful;ClosedByCardholder;beb531bd-10a1-4aa3-96ef-7a1feb0fbfc1;2025-04-22T11:27:38;true;false;SingleUse
c92f7d7b-7514-439c-a70b-1764d642612c;b911cfad-48f9-4851-aaa2-3d7ae70f924c;852fb65b-c283-4180-9e25-339deecf7749;than feline wavy;slushy from;ChipAndPinAnonymous;limply ascribe failing;slowly;round editor;2025-04-22T13:58:45;BlockedByCardholder;2025-04-23T04:54:27;possible aw;Closing;wherever nor kettledrum;bah because seriously;suspiciously approach finally;sup wherever going;11258.87;19338.42;25407.78;21380.43;13734.92;None;truthfully;excluding whitewash but;AAR;false;uh-huh legging artistic;beside woot;sympathetically intensely pendant;minority;indeed unless wicked;uh-huh;anti about;sashay;ESH;DHLExpress;devil circa;nor develop;false;true;false;true;false;false;true;true;true;unless gosh;Standard;thankfully;2025-04-23T03:14:14;2025-04-22T14:39:58;2025-04-23T00:51:04;2025-04-22T18:58:29;aw who qua;ClosedByRenewal;72fcc5ee-4951-4447-a569-f1fd2ed70f91;2025-04-22T11:11:48;false;true;CustomExpiryDate
de957222-e17f-4643-87cc-27eacfaa566b;a0021e2d-ada9-430a-99fa-6e082d1e1eb6;cd42075f-d6a3-47f7-b8e9-b6dfaa09e286;ouch;slather analyse;ChipAndPin;strictly;sting;bah digital yearningly;2025-04-23T04:46:55;BlockedByClient;2025-04-23T01:51:40;detective how;Ordered;duh rough;indelible extract;aha minister litter;costume provided blah;13948.59;1298;1479.46;11570.83;25881.39;None;malfunction cash yearningly;misguided over;ENG;true;fork pish;blond gallivant;knit until demonstrate;yowza;rim abaft tusk;for obstruct ouch;red bah;represent although;LKA;StandardMail;political;boo pave another;true;false;false;true;true;true;false;true;false;lest from including;Standard;short-term;2025-04-23T08:04:07;2025-04-23T05:55:18;2025-04-23T10:33:20;2025-04-22T14:13:27;gee immediately;ClosedByClient;38790e4b-5935-4476-b2dc-1032fd069646;2025-04-22T16:58:23;false;true;SingleUse
1a7ea61e-98a9-4bde-9b9d-d22dde4fd0a1;570ee7d3-2954-41f5-b49b-51eb2e1edf50;e8527021-9c25-48e7-ad59-178be8000a12;whoever ack;except;Virtual;times as unless;roughly;terrorise though;2025-04-22T15:59:40;Frozen;2025-04-23T02:28:58;provided airport;Blocked;meanwhile consequently aw;easily or plugin;a doubtfully;cruelly account;12087.94;30847.61;4974.89;13749.39;31364.64;SMSOTPAndStaticPassword;ew instead via;upward barge;ENG;true;reschedule;millet swift tomb;while thoughtfully;monstrous majestic absent;loftily consequently;unabashedly fat;per;shipper;STP;FedEx;per urgently whether;gee;true;false;false;true;false;true;true;false;false;while;Standard;because platter as;2025-04-22T12:51:51;2025-04-22T16:04:42;2025-04-22T12:07:08;2025-04-22T11:28:09;incidentally customise curiously;ClosedByClient;94b42fbb-0ac3-4823-b200-8ad3d7685785;2025-04-23T04:11:34;false;false;SingleUse
